,,,,,,,,,Count of no_show_bucket,Column Labels,,,,
Row Labels,Average of distance_to_clinic_km,Average of booking_lead_days,,,,Row Labels,Average of waiting_time_minutes,,Row Labels,Attended,Cancelled,No-Show,(blank),Grand Total
Attended,9.668703297,24.52117545,,,,Diagnostic Test,24.12947189,,<1wk,66.56%,5.63%,27.81%,0.00%,100.00%
Cancelled,10.11158301,29.63117871,,,,Follow-up,24.71224052,,<5km,71.25%,4.38%,24.38%,0.00%,100.00%
No-Show,10.53148148,34.52661989,,,,General Consultation,23.98833819,,15-25.8km,61.68%,6.54%,31.78%,0.00%,100.00%
(blank),,,,,,Specialist Consultation,23.87750557,,25.8km+ (outlier),38.10%,4.76%,57.14%,0.00%,100.00%
Grand Total,10.1095723,29.6386,,,,(blank),,,5-15km,67.61%,5.97%,26.42%,0.00%,100.00%
,,,,,,Grand Total,24.18967611,,1-4wks,55.36%,4.96%,39.68%,0.00%,100.00%
,,,,,,,,,<5km,59.72%,4.86%,35.42%,0.00%,100.00%
,,,,,,,,,15-25.8km,51.19%,5.12%,43.69%,0.00%,100.00%
Count of reminder_channel,Column Labels,,,,,,Row Labels,Average of distance_to_clinic_km,25.8km+ (outlier),42.00%,4.00%,54.00%,0.00%,100.00%
Row Labels,Attended,Cancelled,No-Show,(blank),Grand Total,,Attended,9.668703297,5-15km,55.36%,5.01%,39.64%,0.00%,100.00%
Diagnostic Test,272,26,295,,593,,Cancelled,10.11158301,1mo+,35.03%,5.38%,59.59%,0.00%,100.00%
Follow-up,616,77,728,,1421,,No-Show,10.53148148,<5km,34.92%,4.26%,60.82%,0.00%,100.00%
General Consultation,1007,106,973,,2086,,(blank),,15-25.8km,30.50%,4.00%,65.50%,0.00%,100.00%
Specialist Consultation,419,54,427,,900,,Grand Total,10.1095723,25.8km+ (outlier),27.27%,7.79%,64.94%,0.00%,100.00%
(blank),,,,,,,,,5-15km,36.69%,6.07%,57.24%,0.00%,100.00%
Grand Total,2314,263,2423,,5000,,,,(blank),#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,(blank),#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,Grand Total,46.28%,5.26%,48.46%,0.00%,100.00%
Count of appointment_type,Column Labels,,,,,,,,,,,,,
Row Labels,Attended,Cancelled,No-Show,(blank),Grand Total,,,,,,,,,
18-24,257,24,283,,564,,,,,,,,,
25-34,353,33,397,,783,,,,,,,,,
35-44,374,49,396,,819,,,,,,,,,
45-54,365,47,381,,793,,,,,,,,,
55-64,360,34,406,,800,,,,,,,,,
65+,605,76,560,,1241,,,,,,,,,
(blank),,,,,,,,,,,,,,
Grand Total,2314,263,2423,,5000,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Row Labels,Average of previous_no_shows,,,,,,,,,,,,,
Attended,0.456784788,,,,,,,,,,,,,
Cancelled,0.418250951,,,,,,,,,,,,,
No-Show,0.641353694,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,
Grand Total,0.5442,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Count of appointment_type,Column Labels,,,,,,,,,,,,,
Row Labels,Attended,Cancelled,No-Show,(blank),Grand Total,,,,,,,,,
Email,248,27,258,,533,,,,,,,,,
None,583,81,702,,1366,,,,,,,,,
SMS,992,93,915,,2000,,,,,,,,,
WhatsApp,491,62,548,,1101,,,,,,,,,
(blank),,,,,,,,,,,,,,
Grand Total,2314,263,2423,,5000,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Count of appointment_outcome,Column Labels,,,,,,,,,,,,,
Row Labels,Attended,Cancelled,No-Show,(blank),Grand Total,,,,,,,,,
0 ,1474,176,1271,,2921,25.42,,,,,,,,
1 ,654,66,828,,1548,16.56,,,,,,,,
2+ ,186,21,324,,531,6.48,,,,,,,,
(blank),,,,,,,,,,,,,,
Grand Total,2314,263,2423,,5000,48.46,,,,,,,,
